x,Curve1,Curve2
0.100307,1.05673,0.76974
0.101486,1.05685,0.76984
0.12052,1.05674,0.76947
0.1213,1.05659,0.76934
0.14499,1.05204,0.76504
0.14788,1.05229,0.76488
0.17978,1.06029,0.76846
0.18241,1.0609,0.76886
0.22619,1.06798,0.77283
0.23006,1.0685,0.77295
0.27901,1.07708,0.7768
0.29287,1.081,0.77964
0.35333,1.1051,0.79359
0.36703,1.11066,0.79605
0.4313,1.13515,0.80616
0.46239,1.14889,0.81343
0.51018,1.17526,0.82734
0.55864,1.20432,0.84167
0.60987,1.23196,0.85707
0.654,1.25551,0.87166
0.70277,1.28385,0.89114
0.76168,1.32386,0.92027
0.78889,1.34742,0.93383
0.83739,1.40514,0.95768
0.87634,1.46306,0.9851
0.90635,1.51216,1.01833
0.94844,1.58272,1.07498
0.98103,1.62775,1.11068
1.02639,1.67089,1.14343
1.08992,1.70902,1.17306
1.1522,1.73432,1.19468
1.2627,1.76451,1.2218
1.307,1.77303,1.22878
1.5015,1.79425,1.24151
1.546,1.79658,1.24139
1.8232,1.80254,1.22874
1.8968,1.80263,1.22394
2.1116,1.79375,1.20871
2.2433,1.78096,1.19798
2.4973,1.75922,1.17541
2.5979,1.75413,1.16777
2.969,1.73753,1.14602
3.0404,1.73049,1.14182
3.3143,1.70309,1.12918
3.3765,1.70123,1.12881
4.0667,1.70279,1.13219
4.2981,1.70353,1.13274
5.2588,1.70241,1.12832
5.4425,1.70224,1.12811
8.4565,1.70169,1.13603
8.521,1.70169,1.13621
