x,Curve1
0.099423,1.16012
0.112267,1.15984
0.130868,1.15687
0.154774,1.15648
0.19395,1.16122
0.24945,1.16852
0.33701,1.18096
0.41265,1.19624
0.44746,1.19868
0.48241,1.21164
0.52009,1.24558
0.54789,1.27959
0.57384,1.31885
0.60277,1.37386
0.62406,1.43152
0.64424,1.49707
0.66699,1.54686
0.68657,1.58616
0.72117,1.5913
0.74665,1.56497
0.76192,1.51506
0.77976,1.47826
0.8073,1.46243
0.85291,1.47805
0.88049,1.51998
0.8959,1.59343
0.90633,1.81387
0.91688,2.0002
0.92487,2.05792
0.93834,2.08938
0.95754,2.09984
0.98279,2.0814
1.0058,2.02886
1.02341,1.96845
1.05041,1.8844
1.07811,1.8056
1.11297,1.72417
1.16907,1.63219
1.23512,1.55595
1.30868,1.4902
1.40683,1.42967
1.52552,1.37961
1.63993,1.33221
1.7938,1.29526
1.9735,1.26879
2.2091,1.24491
2.4873,1.23152
2.7683,1.22865
3.1991,1.22045
3.665,1.20964
4.3722,1.20399
5.2311,1.20095
6.4797,1.19784
9.8279,1.19427
