x,Curve2
0.099423,0.4882
0.36228,0.48001
0.42231,0.4849
0.48803,0.48982
0.5591,0.49739
0.61332,0.5103
0.63499,0.52203
0.66603,0.53636
0.6996,0.55987
0.72957,0.58602
0.75098,0.60564
0.76192,0.62923
0.77302,0.65151
0.78997,0.66589
0.81198,0.66977
0.82979,0.66053
0.8431,0.64737
0.85291,0.62897
0.86159,0.61451
0.87414,0.60529
0.89202,0.61312
0.9222,0.63536
0.94242,0.66418
0.9617,0.70088
0.98137,0.74414
1.00435,0.80183
1.03084,0.84508
1.07189,0.88304
1.13738,0.91572
1.22977,0.94441
1.34467,0.96723
1.60758,0.98666
2.0447,0.99604
2.4356,0.98241
2.8593,0.95228
3.4183,0.93534
3.9261,0.9251
5.5707,0.91439
9.8722,0.90647
